ticker,currency,asset_class,fund_benchmark,fund_category,fund_dividend_policy,fund_domicile,fund_global_category,asset_type,category_type,category_subdetail,issuer,market_cap,ongoing_charge_tercile,super_region,region_group
EDOW.BT1,USD,EQUITY,Dow Jones Industrial Average Equal Weight TR USD,United States of America,DISTRIBUTION,US,Equity US,Equity,Region,US,First Trust,230511113.0,2.0,Americas,North America
EEA.BT1,USD,EQUITY,MSCI Europe TR USD,Europe,DISTRIBUTION,US,Equity Europe,Equity,Region,Europe,DWS,66608471.0,3.0,Europe,Europe All
EELV.BT1,USD,EQUITY,S&P BMI Emerging Markets Low Volatility NR USD,Global Emerging Markets,DISTRIBUTION,US,Equity Emerging Mkts Global,Equity,Region,Emerging Mkts Global,Invesco,395148178.0,1.0,Global,Emerging Markets
EEM.BT1,USD,EQUITY,MSCI EM (Emerging Markets) NR USD,Global Emerging Markets,DISTRIBUTION,US,Equity Emerging Mkts Global,Equity,Region,Emerging Mkts Global,BlackRock,17003488559.0,2.0,Global,Emerging Markets
EEMA.BT1,USD,EQUITY,MSCI EM Asia Custom Capped NR USD,Global Emerging Markets,DISTRIBUTION,US,Equity Emerging Mkts Global,Equity,Region,Emerging Mkts Global,BlackRock,454124011.0,2.0,Global,Emerging Markets
EEMO.BT1,USD,EQUITY,S&P Momentum Emerging Plus LMC NR USD,Global Emerging Markets,DISTRIBUTION,US,Equity Emerging Mkts Global,Equity,Region,Emerging Mkts Global,Invesco,12988431.0,1.0,Global,Emerging Markets
EEMS.BT1,USD,EQUITY,MSCI EM (Emerging Markets) Small Cap NR USD,Global Emerging Markets,DISTRIBUTION,US,Equity Emerging Mkts Global,Equity,Region,Emerging Mkts Global,BlackRock,333096449.0,2.0,Global,Emerging Markets
EEMV.BT1,USD,EQUITY,MSCI Emerging Markets Minimum Volatility NR USD,Global Emerging Markets,DISTRIBUTION,US,Equity Emerging Mkts Global,Equity,Region,Emerging Mkts Global,BlackRock,4054736593.0,1.0,Global,Emerging Markets
EEMX.BT1,USD,EQUITY,MSCI Emerging Markets ex Fossil Fuels NR USD,Global Emerging Markets,DISTRIBUTION,US,Equity Emerging Mkts Global,Equity,Region,Emerging Mkts Global,State Street,78029966.0,1.0,Global,Emerging Markets
EES.BT1,USD,EQUITY,WisdomTree US SmallCap TR USD,United States of America,DISTRIBUTION,US,Equity US Sm&Mid Cap,Equity,Region,US Sm&Mid Cap,WisdomTree,643589683.0,1.0,Americas,North America
EFA.BT1,USD,EQUITY,MSCI EAFE NR USD,Global Ex US,DISTRIBUTION,US,Equity Global ex US,Equity,Region,Global ex US,BlackRock,53095726100.0,1.0,Global,Global Ex-US
EFAD.BT1,USD,EQUITY,MSCI EAFE Dividend Masters NR USD,Global Ex US,DISTRIBUTION,US,Equity Global ex US,Equity,Region,Global ex US,ProShare Advisors LLC,67426348.0,2.0,Global,Global Ex-US
EFAS.BT1,USD,EQUITY,MSCI EAFE Top 50 Dividend NR USD,Global Ex US,DISTRIBUTION,US,Equity Global ex US,Equity,Region,Global ex US,Glo X Mgmt Co,7997301.0,2.0,Global,Global Ex-US
EFAV.BT1,USD,EQUITY,MSCI EAFE Minimum Volatility TR,Global Ex US,DISTRIBUTION,US,Equity Global ex US,Equity,Region,Global ex US,BlackRock,5653376894.0,1.0,Global,Global Ex-US
EFAX.BT1,USD,EQUITY,MSCI EAFE ex Fossil Fuels NR USD,Global Ex US,DISTRIBUTION,US,Equity Global ex US,Equity,Region,Global ex US,State Street,303279397.0,1.0,Global,Global Ex-US
EFFE.BT1,USD,EQUITY,,Global Emerging Markets,DISTRIBUTION,US,Equity Emerging Mkts Global,Equity,Region,Emerging Mkts Global,Harbor Capital Advisors Inc,3468812.0,,Global,Emerging Markets
